Time,Code,Price,NewsScore
2026-04-19 01:09:50.710154,2003.T,1833.0,0
2026-04-19 01:10:54.397920,2158.T,856.0,0
2026-04-19 01:10:58.104047,2411.T,493.0,0
2026-04-19 01:11:01.784011,3848.T,973.0,0
2026-04-19 01:11:05.445592,1992.T,2795.0,0
2026-04-19 01:11:09.101417,2134.T,33.0,0
2026-04-19 01:11:12.704880,3191.T,2216.0,0
2026-04-19 01:11:16.362444,3691.T,1571.0,0
2026-04-19 01:11:20.113455,2884.T,739.0,0
2026-04-19 01:11:23.854507,1914.T,716.0,0
2026-04-19 01:11:27.436575,2003.T,1833.0,0
2026-04-19 01:12:31.312288,2158.T,856.0,0
2026-04-19 01:12:35.012680,2411.T,493.0,0
2026-04-19 01:12:38.717735,3848.T,973.0,0
2026-04-19 01:12:42.409493,1992.T,2795.0,0
2026-04-19 01:12:46.066987,2134.T,33.0,0
2026-04-19 01:12:49.813749,3191.T,2216.0,0
2026-04-19 01:12:53.457184,3691.T,1571.0,0
2026-04-19 01:12:57.193985,2884.T,739.0,0
2026-04-19 01:13:00.926772,1914.T,716.0,0
2026-04-19 01:13:04.696585,2003.T,1833.0,0
2026-04-19 01:14:08.388700,2158.T,856.0,0
2026-04-19 01:14:12.159432,2411.T,493.0,0
2026-04-19 01:14:15.885862,3848.T,973.0,0
2026-04-19 01:14:19.448669,1992.T,2795.0,0
2026-04-19 01:14:23.036034,2134.T,33.0,0
2026-04-19 01:14:26.639240,3191.T,2216.0,0
2026-04-19 01:14:30.372716,3691.T,1571.0,0
2026-04-19 01:14:33.984002,2884.T,739.0,0
2026-04-19 01:14:37.628256,1914.T,716.0,0
2026-04-19 01:14:41.194919,2003.T,1833.0,0
2026-04-19 01:15:44.968108,2158.T,856.0,0
2026-04-19 01:15:48.674775,2411.T,493.0,0
2026-04-19 01:15:52.306053,3848.T,973.0,0
2026-04-19 01:15:55.929189,1992.T,2795.0,0
2026-04-19 01:15:59.532937,2134.T,33.0,0
2026-04-19 01:16:03.273551,3191.T,2216.0,0
2026-04-19 01:16:06.887683,3691.T,1571.0,0
2026-04-19 01:16:10.621814,2884.T,739.0,0
2026-04-19 01:16:14.258606,1914.T,716.0,0
2026-04-19 01:16:17.971821,2003.T,1833.0,0
2026-04-19 01:17:21.720141,2158.T,856.0,0
2026-04-19 01:17:25.285556,2411.T,493.0,0
2026-04-19 01:17:28.975914,3848.T,973.0,0
2026-04-19 01:17:32.537102,1992.T,2795.0,0
2026-04-19 01:17:36.240465,2134.T,33.0,0
2026-04-19 01:17:39.927887,3191.T,2216.0,0
2026-04-19 01:17:43.586906,3691.T,1571.0,0
2026-04-19 01:17:47.290596,2884.T,739.0,0
2026-04-19 01:17:50.918624,1914.T,716.0,0
2026-04-19 01:17:54.734377,2003.T,1833.0,0
2026-04-19 01:18:58.443042,2158.T,856.0,0
2026-04-19 01:19:02.053811,2411.T,493.0,0
2026-04-19 01:19:05.645029,3848.T,973.0,0
2026-04-19 01:19:09.253472,1992.T,2795.0,0
2026-04-19 01:19:13.032054,2134.T,33.0,0
2026-04-19 01:19:16.708763,3191.T,2216.0,0
2026-04-19 01:19:20.333599,3691.T,1571.0,0
2026-04-19 01:19:23.913866,2884.T,739.0,0
2026-04-19 01:19:27.553579,1914.T,716.0,0
2026-04-19 01:19:31.204181,2003.T,1833.0,0
2026-04-19 01:20:34.969359,2158.T,856.0,0
2026-04-19 01:20:38.617183,2411.T,493.0,0
2026-04-19 01:20:42.207246,3848.T,973.0,0
2026-04-19 01:20:45.869126,1992.T,2795.0,0
2026-04-19 01:20:49.605843,2134.T,33.0,0
2026-04-19 01:20:53.526305,3191.T,2216.0,0
2026-04-19 01:20:57.167570,3691.T,1571.0,0
2026-04-19 01:21:00.854489,2884.T,739.0,0
2026-04-19 01:21:04.583910,1914.T,716.0,0
2026-04-19 01:21:08.225393,2003.T,1833.0,0
2026-04-19 01:22:11.971674,2158.T,856.0,0
2026-04-19 01:22:15.758437,2411.T,493.0,0
2026-04-19 01:22:19.433733,3848.T,973.0,0
2026-04-19 01:22:23.159130,1992.T,2795.0,0
2026-04-19 01:22:26.786970,2134.T,33.0,0
2026-04-19 01:22:30.547023,3191.T,2216.0,0
2026-04-19 01:22:34.284749,3691.T,1571.0,0
2026-04-19 01:22:38.025901,2884.T,739.0,0
2026-04-19 01:22:41.782647,1914.T,716.0,0
2026-04-19 01:22:45.516935,2003.T,1833.0,0
2026-04-19 01:23:49.223796,2158.T,856.0,0
2026-04-19 01:23:52.865101,2411.T,493.0,0
2026-04-19 01:23:56.545571,3848.T,973.0,0
2026-04-19 01:24:00.457679,1992.T,2795.0,0
2026-04-19 01:24:04.204468,2134.T,33.0,0
2026-04-19 01:24:07.851377,3191.T,2216.0,0
2026-04-19 01:24:11.524898,3691.T,1571.0,0
2026-04-19 01:24:15.309381,2884.T,739.0,0
2026-04-19 01:24:18.995012,1914.T,716.0,0
2026-04-19 01:24:22.891699,2003.T,1833.0,0
2026-04-19 01:25:26.742469,2158.T,856.0,0
2026-04-19 01:25:30.394808,2411.T,493.0,0
2026-04-19 01:25:34.230738,3848.T,973.0,0
2026-04-19 01:25:37.871287,1992.T,2795.0,0
2026-04-19 01:25:41.467236,2134.T,33.0,0
2026-04-19 01:25:45.175325,3191.T,2216.0,0
2026-04-19 01:25:48.951550,3691.T,1571.0,0
2026-04-19 01:25:52.762053,2884.T,739.0,0
2026-04-19 01:25:56.362241,1914.T,716.0,0
2026-04-19 01:26:00.018110,2003.T,1833.0,0
2026-04-19 01:27:03.708409,2158.T,856.0,0
2026-04-19 01:27:07.463733,2411.T,493.0,0
2026-04-19 01:27:11.230125,3848.T,973.0,0
2026-04-19 01:27:14.920753,1992.T,2795.0,0
2026-04-19 01:27:18.584228,2134.T,33.0,0
